DeviceID,Date,Final_Daily_Readings,Daily_Consumption
405-308-311,2024-12-06,659.7,10.7
405-308-311,2024-12-07,668.4,8.7
405-308-311,2024-12-08,684.0,15.6
405-308-311,2024-12-09,693.8,9.8
405-308-311,2024-12-10,699.5,5.7
405-308-311,2024-12-11,710.8,11.3
405-308-311,2024-12-12,725.7,14.9
405-308-311,2024-12-13,732.6,6.9
405-308-311,2024-12-14,740.6,8.0
405-308-311,2024-12-15,752.1,11.5
405-308-311,2024-12-16,760.5,8.4
405-308-311,2024-12-17,767.9,7.4
405-308-311,2024-12-18,777.2,9.3
405-308-311,2024-12-19,785.3,8.1
405-308-311,2024-12-20,797.7,12.4
405-308-311,2024-12-21,809.1,11.4
405-308-311,2024-12-22,815.3,6.2
405-308-311,2024-12-23,826.5,11.2
405-308-311,2024-12-24,838.7,12.2
405-308-311,2024-12-25,854.4,15.7
405-308-311,2024-12-26,860.4,6.0
405-308-311,2024-12-27,874.7,14.3
405-308-311,2024-12-28,886.8,12.1
405-308-311,2024-12-29,895.5,8.7
405-308-311,2024-12-30,908.4,12.9
405-308-311,2024-12-31,913.1,4.7
405-308-311,2025-01-01,922.5,9.4
405-308-311,2025-01-02,937.2,14.7
405-308-311,2025-01-03,945.4,8.2
405-308-311,2025-01-04,949.5,4.1
405-308-311,2025-01-05,953.9,4.4
405-308-311,2025-01-06,959.5,5.6
405-308-311,2025-01-07,970.3,10.8
405-308-311,2025-01-08,986.4,16.1
405-308-311,2025-01-09,994.6,8.2
405-308-311,2025-01-10,1011.1,16.5
405-308-311,2025-01-11,1018.6,7.5
405-308-311,2025-01-12,1024.3,5.7
405-308-311,2025-01-13,1031.6,7.3
405-308-311,2025-01-14,1040.1,8.5
405-308-311,2025-01-15,1056.3,16.2
405-308-311,2025-01-16,1072.7,16.4
405-308-311,2025-01-17,1087.9,15.2
405-308-311,2025-01-18,1092.5,4.6
405-308-311,2025-01-19,1103.7,11.2
405-308-311,2025-01-20,1115.5,11.8
405-308-311,2025-01-21,1131.1,15.6
405-308-311,2025-01-22,1137.8,6.7
405-308-311,2025-01-23,1144.8,7.0
405-308-311,2025-01-24,1149.4,4.6
405-308-311,2025-01-25,1158.0,8.6
405-308-311,2025-01-26,1167.4,9.4
405-308-311,2025-01-27,1175.1,7.7
405-308-311,2025-01-28,1184.7,9.6
405-308-311,2025-01-29,1190.9,6.2
405-308-311,2025-01-30,1201.8,10.9
405-308-311,2025-01-31,1207.2,5.4
405-308-311,2025-02-01,1223.2,16.0
405-308-311,2025-02-02,1227.3,4.1
405-308-311,2025-02-03,1239.5,12.2
405-308-311,2025-02-04,1248.9,9.4
405-308-311,2025-02-05,1262.7,13.8
405-308-311,2025-02-06,1275.4,12.7
405-308-311,2025-02-07,1289.7,14.3
405-308-311,2025-02-08,1305.2,15.5
405-308-311,2025-02-09,1319.2,14.0
405-308-311,2025-02-10,1323.9,4.7
405-308-311,2025-02-11,1338.1,14.2
405-308-311,2025-02-12,1353.6,15.5
405-308-311,2025-02-13,1359.3,5.7
405-308-311,2025-02-14,1372.0,12.7
405-308-311,2025-02-15,1379.6,7.6
405-308-311,2025-02-16,1392.7,13.1
405-308-311,2025-02-17,1406.3,13.6
405-308-311,2025-02-18,1422.1,15.8
405-308-311,2025-02-19,1427.9,5.8
398-711-962,2024-11-11,266.1,14.9
398-711-962,2024-11-12,282.1,16.0
398-711-962,2024-11-13,296.6,14.5
398-711-962,2024-11-14,302.6,6.0
398-711-962,2024-11-15,316.1,13.5
398-711-962,2024-11-16,322.4,6.3
398-711-962,2024-11-17,338.3,15.9
398-711-962,2024-11-18,347.9,9.6
398-711-962,2024-11-19,353.4,5.5
398-711-962,2024-11-20,369.6,16.2
398-711-962,2024-11-21,374.8,5.2
398-711-962,2024-11-22,383.4,8.6
398-711-962,2024-11-23,393.8,10.4
398-711-962,2024-11-24,407.9,14.1
398-711-962,2024-11-25,418.6,10.7
398-711-962,2024-11-26,428.8,10.2
398-711-962,2024-11-27,440.8,12.0
398-711-962,2024-11-28,456.9,16.1
398-711-962,2024-11-29,464.5,7.6
398-711-962,2024-11-30,469.2,4.7
398-711-962,2024-12-01,477.2,8.0
398-711-962,2024-12-02,489.6,12.4
398-711-962,2024-12-03,499.8,10.2
398-711-962,2024-12-04,515.4,15.6
398-711-962,2024-12-05,529.7,14.3
398-711-962,2024-12-06,546.0,16.3
398-711-962,2024-12-07,553.3,7.3
398-711-962,2024-12-08,560.7,7.4
398-711-962,2024-12-09,569.6,8.9
398-711-962,2024-12-10,580.7,11.1
398-711-962,2024-12-11,591.3,10.6
398-711-962,2024-12-12,604.0,12.7
398-711-962,2024-12-13,620.5,16.5
398-711-962,2024-12-14,628.8,8.3
398-711-962,2024-12-15,642.2,13.4
398-711-962,2024-12-16,658.5,16.3
398-711-962,2024-12-17,668.5,10.0
398-711-962,2024-12-18,674.6,6.1
398-711-962,2024-12-19,689.9,15.3
398-711-962,2024-12-20,699.7,9.8
398-711-962,2024-12-21,709.7,10.0
398-711-962,2024-12-22,719.5,9.8
398-711-962,2024-12-23,734.7,15.2
398-711-962,2024-12-24,747.7,13.0
398-711-962,2024-12-25,761.3,13.6
398-711-962,2024-12-26,773.1,11.8
398-711-962,2024-12-27,786.4,13.3
398-711-962,2024-12-28,791.4,5.0
398-711-962,2024-12-29,800.1,8.7
398-711-962,2024-12-30,809.1,9.0
398-711-962,2024-12-31,813.9,4.8
398-711-962,2025-01-01,821.4,7.5
398-711-962,2025-01-02,828.1,6.7
398-711-962,2025-01-03,841.2,13.1
398-711-962,2025-01-04,855.1,13.9
398-711-962,2025-01-05,871.3,16.2
398-711-962,2025-01-06,876.5,5.2
398-711-962,2025-01-07,888.8,12.3
398-711-962,2025-01-08,894.2,5.4
398-711-962,2025-01-09,907.4,13.2
398-711-962,2025-01-10,919.7,12.3
398-711-962,2025-01-11,924.1,4.4
398-711-962,2025-01-12,936.5,12.4
398-711-962,2025-01-13,942.3,5.8
398-711-962,2025-01-14,956.4,14.1
398-711-962,2025-01-15,962.3,5.9
398-711-962,2025-01-16,977.1,14.8
398-711-962,2025-01-17,990.8,13.7
398-711-962,2025-01-18,999.7,8.9
398-711-962,2025-01-19,1009.1,9.4
398-711-962,2025-01-20,1023.8,14.7
398-711-962,2025-01-21,1038.3,14.5
398-711-962,2025-01-22,1050.1,11.8
398-711-962,2025-01-23,1060.5,10.4
398-711-962,2025-01-24,1073.8,13.3
398-711-962,2025-01-25,1084.3,10.5
398-711-962,2025-01-26,1088.6,4.3
398-711-962,2025-01-27,1096.8,8.2
398-711-962,2025-01-28,1101.5,4.7
398-711-962,2025-01-29,1108.6,7.1
398-711-962,2025-01-30,1120.5,11.9
398-711-962,2025-01-31,1133.9,13.4
398-711-962,2025-02-01,1149.4,15.5
398-711-962,2025-02-02,1163.4,14.0
398-711-962,2025-02-03,1175.4,12.0
398-711-962,2025-02-04,1185.9,10.5
398-711-962,2025-02-05,1192.1,6.2
398-711-962,2025-02-06,1197.5,5.4
398-711-962,2025-02-07,1206.0,8.5
398-711-962,2025-02-08,1214.5,8.5
398-711-962,2025-02-09,1228.9,14.4
398-711-962,2025-02-10,1243.8,14.9
398-711-962,2025-02-11,1248.1,4.3
398-711-962,2025-02-12,1261.0,12.9
398-711-962,2025-02-13,1266.7,5.7
398-711-962,2025-02-14,1280.0,13.3
398-711-962,2025-02-15,1294.7,14.7
398-711-962,2025-02-16,1308.9,14.2
398-711-962,2025-02-17,1320.6,11.7
398-711-962,2025-02-18,1334.0,13.4
398-711-962,2025-02-19,1338.6,4.6
706-863-525,2024-11-11,917.5,8.4
706-863-525,2024-11-12,928.6,11.1
706-863-525,2024-11-13,945.1,16.5
706-863-525,2024-11-14,959.8,14.7
706-863-525,2024-11-15,971.0,11.2
706-863-525,2024-11-16,982.3,11.3
706-863-525,2024-11-17,988.0,5.7
706-863-525,2024-11-18,993.2,5.2
706-863-525,2024-11-19,1009.3,16.1
706-863-525,2024-11-20,1018.0,8.7
706-863-525,2024-11-21,1022.6,4.6
706-863-525,2024-11-22,1036.6,14.0
706-863-525,2024-11-23,1050.1,13.5
706-863-525,2024-11-24,1054.3,4.2
706-863-525,2024-11-25,1060.5,6.2
706-863-525,2024-11-26,1072.2,11.7
706-863-525,2024-11-27,1080.0,7.8
706-863-525,2024-11-28,1087.5,7.5
706-863-525,2024-11-29,1103.7,16.2
706-863-525,2024-11-30,1108.0,4.3
706-863-525,2024-12-01,1118.4,10.4
706-863-525,2024-12-02,1128.3,9.9
706-863-525,2024-12-03,1136.5,8.2
706-863-525,2024-12-04,1151.3,14.8
706-863-525,2024-12-05,1160.8,9.5
706-863-525,2024-12-06,1166.3,5.5
706-863-525,2024-12-07,1171.4,5.1
706-863-525,2024-12-08,1180.9,9.5
706-863-525,2024-12-09,1188.6,7.7
706-863-525,2024-12-10,1204.1,15.5
706-863-525,2024-12-11,1211.6,7.5
706-863-525,2024-12-12,1217.9,6.3
706-863-525,2024-12-13,1224.9,7.0
706-863-525,2024-12-14,1240.5,15.6
706-863-525,2024-12-15,1255.0,14.5
706-863-525,2024-12-16,1266.9,11.9
706-863-525,2024-12-17,1280.9,14.0
706-863-525,2024-12-18,1288.3,7.4
706-863-525,2024-12-19,1302.7,14.4
706-863-525,2024-12-20,1310.5,7.8
706-863-525,2024-12-21,1324.4,13.9
706-863-525,2024-12-22,1338.2,13.8
706-863-525,2024-12-23,1342.5,4.3
706-863-525,2024-12-24,1358.4,15.9
706-863-525,2024-12-25,1370.8,12.4
706-863-525,2024-12-26,1378.1,7.3
706-863-525,2024-12-27,1385.4,7.3
706-863-525,2024-12-28,1401.2,15.8
706-863-525,2024-12-29,1411.2,10.0
706-863-525,2024-12-30,1416.8,5.6
706-863-525,2024-12-31,1426.5,9.7
706-863-525,2025-01-01,1430.7,4.2
706-863-525,2025-01-02,1438.0,7.3
706-863-525,2025-01-03,1442.4,4.4
706-863-525,2025-01-04,1448.7,6.3
706-863-525,2025-01-05,1457.3,8.6
706-863-525,2025-01-06,1468.0,10.7
706-863-525,2025-01-07,1483.4,15.4
706-863-525,2025-01-08,1493.9,10.5
706-863-525,2025-01-09,1503.8,9.9
706-863-525,2025-01-10,1509.3,5.5
706-863-525,2025-01-11,1522.1,12.8
706-863-525,2025-01-12,1529.5,7.4
706-863-525,2025-01-13,1539.1,9.6
706-863-525,2025-01-14,1545.9,6.8
706-863-525,2025-01-15,1553.8,7.9
706-863-525,2025-01-16,1560.2,6.4
706-863-525,2025-01-17,1573.6,13.4
706-863-525,2025-01-18,1586.7,13.1
706-863-525,2025-01-19,1599.2,12.5
706-863-525,2025-01-20,1604.9,5.7
706-863-525,2025-01-21,1613.2,8.3
706-863-525,2025-01-22,1617.7,4.5
706-863-525,2025-01-23,1634.2,16.5
706-863-525,2025-01-24,1641.5,7.3
706-863-525,2025-01-25,1655.3,13.8
706-863-525,2025-01-26,1667.6,12.3
706-863-525,2025-01-27,1682.7,15.1
706-863-525,2025-01-28,1692.0,9.3
706-863-525,2025-01-29,1705.6,13.6
706-863-525,2025-01-30,1712.1,6.5
706-863-525,2025-01-31,1723.1,11.0
706-863-525,2025-02-01,1737.1,14.0
706-863-525,2025-02-02,1746.1,9.0
706-863-525,2025-02-03,1752.4,6.3
706-863-525,2025-02-04,1762.4,10.0
706-863-525,2025-02-05,1770.5,8.1
706-863-525,2025-02-06,1779.7,9.2
706-863-525,2025-02-07,1791.9,12.2
706-863-525,2025-02-08,1802.0,10.1
706-863-525,2025-02-09,1811.1,9.1
706-863-525,2025-02-10,1820.6,9.5
706-863-525,2025-02-11,1830.8,10.2
706-863-525,2025-02-12,1843.5,12.7
706-863-525,2025-02-13,1852.8,9.3
706-863-525,2025-02-14,1857.1,4.3
706-863-525,2025-02-15,1871.6,14.5
706-863-525,2025-02-16,1882.8,11.2
706-863-525,2025-02-17,1896.8,14.0
706-863-525,2025-02-18,1904.6,7.8
706-863-525,2025-02-19,1919.1,14.5
304-510-358,2024-11-11,302.8,15.0
304-510-358,2024-11-12,314.2,11.4
304-510-358,2024-11-13,328.4,14.2
304-510-358,2024-11-14,332.9,4.5
304-510-358,2024-11-15,342.0,9.1
304-510-358,2024-11-16,354.5,12.5
304-510-358,2024-11-17,363.1,8.6
304-510-358,2024-11-18,369.8,6.7
304-510-358,2024-11-19,374.2,4.4
304-510-358,2024-11-20,387.3,13.1
304-510-358,2024-11-21,403.5,16.2
304-510-358,2024-11-22,414.8,11.3
304-510-358,2024-11-23,430.7,15.9
304-510-358,2024-11-24,446.3,15.6
304-510-358,2024-11-25,457.0,10.7
304-510-358,2024-11-26,464.8,7.8
304-510-358,2024-11-27,473.2,8.4
304-510-358,2024-11-28,485.8,12.6
304-510-358,2024-11-29,502.1,16.3
304-510-358,2024-11-30,507.8,5.7
304-510-358,2024-12-01,519.8,12.0
304-510-358,2024-12-02,529.5,9.7
304-510-358,2024-12-03,544.5,15.0
304-510-358,2024-12-04,555.8,11.3
304-510-358,2024-12-05,563.6,7.8
304-510-358,2024-12-06,578.5,14.9
304-510-358,2024-12-07,591.1,12.6
304-510-358,2024-12-08,607.7,16.6
304-510-358,2024-12-09,617.9,10.2
304-510-358,2024-12-10,631.3,13.4
304-510-358,2024-12-11,641.7,10.4
304-510-358,2024-12-12,657.4,15.7
304-510-358,2024-12-13,669.4,12.0
304-510-358,2024-12-14,680.3,10.9
304-510-358,2024-12-15,688.0,7.7
304-510-358,2024-12-16,699.6,11.6
304-510-358,2024-12-17,707.8,8.2
304-510-358,2024-12-18,717.5,9.7
304-510-358,2024-12-19,733.3,15.8
304-510-358,2024-12-20,745.9,12.6
304-510-358,2024-12-21,759.2,13.3
304-510-358,2024-12-22,765.0,5.8
304-510-358,2024-12-23,774.0,9.0
304-510-358,2024-12-24,785.5,11.5
304-510-358,2024-12-25,796.3,10.8
304-510-358,2024-12-26,803.7,7.4
304-510-358,2024-12-27,816.8,13.1
304-510-358,2024-12-28,825.8,9.0
304-510-358,2024-12-29,837.9,12.1
304-510-358,2024-12-30,847.2,9.3
304-510-358,2024-12-31,858.9,11.7
304-510-358,2025-01-01,874.9,16.0
304-510-358,2025-01-02,888.0,13.1
304-510-358,2025-01-03,895.7,7.7
304-510-358,2025-01-04,901.8,6.1
304-510-358,2025-01-05,910.1,8.3
304-510-358,2025-01-06,924.7,14.6
304-510-358,2025-01-07,935.0,10.3
304-510-358,2025-01-08,943.9,8.9
304-510-358,2025-01-09,957.3,13.4
304-510-358,2025-01-10,967.4,10.1
304-510-358,2025-01-11,971.6,4.2
304-510-358,2025-01-12,988.1,16.5
304-510-358,2025-01-13,997.6,9.5
304-510-358,2025-01-14,1011.3,13.7
304-510-358,2025-01-15,1023.5,12.2
304-510-358,2025-01-16,1029.0,5.5
304-510-358,2025-01-17,1039.1,10.1
304-510-358,2025-01-18,1050.3,11.2
304-510-358,2025-01-19,1064.5,14.2
304-510-358,2025-01-20,1070.1,5.6
304-510-358,2025-01-21,1085.2,15.1
304-510-358,2025-01-22,1096.7,11.5
304-510-358,2025-01-23,1103.3,6.6
304-510-358,2025-01-24,1119.1,15.8
304-510-358,2025-01-25,1129.7,10.6
304-510-358,2025-01-26,1142.9,13.2
304-510-358,2025-01-27,1148.9,6.0
304-510-358,2025-01-28,1153.9,5.0
304-510-358,2025-01-29,1163.6,9.7
304-510-358,2025-01-30,1168.2,4.6
304-510-358,2025-01-31,1182.4,14.2
304-510-358,2025-02-01,1187.3,4.9
304-510-358,2025-02-02,1203.6,16.3
304-510-358,2025-02-03,1208.1,4.5
304-510-358,2025-02-04,1214.4,6.3
304-510-358,2025-02-05,1220.7,6.3
304-510-358,2025-02-06,1230.4,9.7
304-510-358,2025-02-07,1236.4,6.0
304-510-358,2025-02-08,1244.9,8.5
304-510-358,2025-02-09,1249.2,4.3
304-510-358,2025-02-10,1264.9,15.7
304-510-358,2025-02-11,1277.0,12.1
304-510-358,2025-02-12,1291.4,14.4
304-510-358,2025-02-13,1307.2,15.8
304-510-358,2025-02-14,1318.8,11.6
304-510-358,2025-02-15,1322.9,4.1
304-510-358,2025-02-16,1338.2,15.3
304-510-358,2025-02-17,1351.2,13.0
304-510-358,2025-02-18,1355.8,4.6
304-510-358,2025-02-19,1370.3,14.5
785-787-122,2024-11-11,589.6,11.9
785-787-122,2024-11-12,601.1,11.5
785-787-122,2024-11-13,614.7,13.6
785-787-122,2024-11-14,623.3,8.6
785-787-122,2024-11-15,630.6,7.3
785-787-122,2024-11-16,637.2,6.6
785-787-122,2024-11-17,648.1,10.9
785-787-122,2024-11-18,663.8,15.7
785-787-122,2024-11-19,674.1,10.3
785-787-122,2024-11-20,678.5,4.4
785-787-122,2024-11-21,686.2,7.7
785-787-122,2024-11-22,700.0,13.8
785-787-122,2024-11-23,709.0,9.0
785-787-122,2024-11-24,722.8,13.8
785-787-122,2024-11-25,727.0,4.2
785-787-122,2024-11-26,737.1,10.1
785-787-122,2024-11-27,746.2,9.1
785-787-122,2024-11-28,750.7,4.5
785-787-122,2024-11-29,755.0,4.3
785-787-122,2024-11-30,769.2,14.2
785-787-122,2024-12-01,780.7,11.5
785-787-122,2024-12-02,789.3,8.6
785-787-122,2024-12-03,795.8,6.5
785-787-122,2024-12-04,802.5,6.7
785-787-122,2024-12-05,808.8,6.3
785-787-122,2024-12-06,814.6,5.8
785-787-122,2024-12-07,820.1,5.5
785-787-122,2024-12-08,827.7,7.6
785-787-122,2024-12-09,838.1,10.4
785-787-122,2024-12-10,844.3,6.2
785-787-122,2024-12-11,852.6,8.3
785-787-122,2024-12-12,861.6,9.0
785-787-122,2024-12-13,873.3,11.7
785-787-122,2024-12-14,877.9,4.6
785-787-122,2024-12-15,882.6,4.7
785-787-122,2024-12-16,898.0,15.4
785-787-122,2024-12-17,913.9,15.9
785-787-122,2024-12-18,922.7,8.8
785-787-122,2024-12-19,929.1,6.4
785-787-122,2024-12-20,945.2,16.1
785-787-122,2024-12-21,955.8,10.6
785-787-122,2024-12-22,965.2,9.4
785-787-122,2024-12-23,978.5,13.3
785-787-122,2024-12-24,994.4,15.9
785-787-122,2024-12-25,1000.4,6.0
785-787-122,2024-12-26,1012.6,12.2
785-787-122,2024-12-27,1021.1,8.5
785-787-122,2024-12-28,1036.8,15.7
785-787-122,2024-12-29,1047.8,11.0
785-787-122,2024-12-30,1054.2,6.4
785-787-122,2024-12-31,1065.5,11.3
785-787-122,2025-01-01,1081.8,16.3
785-787-122,2025-01-02,1096.9,15.1
785-787-122,2025-01-03,1110.1,13.2
785-787-122,2025-01-04,1117.3,7.2
785-787-122,2025-01-05,1122.2,4.9
785-787-122,2025-01-06,1138.1,15.9
785-787-122,2025-01-07,1142.7,4.6
785-787-122,2025-01-08,1147.6,4.9
785-787-122,2025-01-09,1158.7,11.1
785-787-122,2025-01-10,1163.1,4.4
785-787-122,2025-01-11,1177.4,14.3
785-787-122,2025-01-12,1190.5,13.1
785-787-122,2025-01-13,1201.2,10.7
785-787-122,2025-01-14,1206.2,5.0
785-787-122,2025-01-15,1211.2,5.0
785-787-122,2025-01-16,1224.9,13.7
785-787-122,2025-01-17,1234.9,10.0
785-787-122,2025-01-18,1246.8,11.9
785-787-122,2025-01-19,1258.3,11.5
785-787-122,2025-01-20,1264.0,5.7
785-787-122,2025-01-21,1273.0,9.0
785-787-122,2025-01-22,1278.3,5.3
785-787-122,2025-01-23,1285.2,6.9
785-787-122,2025-01-24,1297.3,12.1
785-787-122,2025-01-25,1311.9,14.6
785-787-122,2025-01-26,1327.1,15.2
785-787-122,2025-01-27,1333.6,6.5
785-787-122,2025-01-28,1344.0,10.4
785-787-122,2025-01-29,1360.0,16.0
785-787-122,2025-01-30,1373.3,13.3
785-787-122,2025-01-31,1377.6,4.3
785-787-122,2025-02-01,1387.8,10.2
785-787-122,2025-02-02,1393.9,6.1
785-787-122,2025-02-03,1406.3,12.4
785-787-122,2025-02-04,1421.9,15.6
785-787-122,2025-02-05,1435.6,13.7
785-787-122,2025-02-06,1441.1,5.5
785-787-122,2025-02-07,1447.3,6.2
785-787-122,2025-02-08,1455.0,7.7
785-787-122,2025-02-09,1462.9,7.9
785-787-122,2025-02-10,1470.5,7.6
785-787-122,2025-02-11,1481.1,10.6
785-787-122,2025-02-12,1486.9,5.8
785-787-122,2025-02-13,1500.9,14.0
785-787-122,2025-02-14,1506.2,5.3
785-787-122,2025-02-15,1511.4,5.2
785-787-122,2025-02-16,1524.8,13.4
785-787-122,2025-02-17,1532.3,7.5
785-787-122,2025-02-18,1537.9,5.6
785-787-122,2025-02-19,1548.5,10.6
965-748-680,2024-11-11,648.7,11.7
965-748-680,2024-11-12,654.8,6.1
965-748-680,2024-11-13,663.9,9.1
965-748-680,2024-11-14,675.6,11.7
965-748-680,2024-11-15,685.0,9.4
965-748-680,2024-11-16,697.8,12.8
965-748-680,2024-11-17,702.3,4.5
965-748-680,2024-11-18,710.4,8.1
965-748-680,2024-11-19,721.4,11.0
965-748-680,2024-11-20,733.5,12.1
965-748-680,2024-11-21,748.0,14.5
965-748-680,2024-11-22,760.5,12.5
965-748-680,2024-11-23,770.0,9.5
965-748-680,2024-11-24,784.9,14.9
965-748-680,2024-11-25,791.1,6.2
965-748-680,2024-11-26,800.6,9.5
965-748-680,2024-11-27,810.6,10.0
965-748-680,2024-11-28,821.9,11.3
965-748-680,2024-11-29,838.3,16.4
965-748-680,2024-11-30,844.4,6.1
965-748-680,2024-12-01,857.2,12.8
965-748-680,2024-12-02,865.4,8.2
965-748-680,2024-12-03,878.9,13.5
965-748-680,2024-12-04,891.6,12.7
965-748-680,2024-12-05,897.8,6.2
965-748-680,2024-12-06,908.0,10.2
965-748-680,2024-12-07,915.8,7.8
965-748-680,2024-12-08,926.0,10.2
965-748-680,2024-12-09,941.5,15.5
965-748-680,2024-12-10,945.6,4.1
965-748-680,2024-12-11,952.2,6.6
965-748-680,2024-12-12,967.8,15.6
965-748-680,2024-12-13,982.8,15.0
965-748-680,2024-12-14,988.7,5.9
965-748-680,2024-12-15,1003.7,15.0
965-748-680,2024-12-16,1007.8,4.1
965-748-680,2024-12-17,1014.6,6.8
965-748-680,2024-12-18,1018.9,4.3
965-748-680,2024-12-19,1023.5,4.6
965-748-680,2024-12-20,1039.3,15.8
